il_basin_shapes_GenerateNear2.OBJECTID,il_basin_shapes_GenerateNear2.IN_FID,il_basin_shapes_GenerateNear2.NEAR_FID,il_basin_shapes_GenerateNear2.NEAR_DIST,il_basin_shapes_GenerateNear2.NEAR_RANK,il_basin_shapes.FID,il_basin_shapes.gauge_id,IMS_stations_lla_XYTableToPoint1.OBJECTID,IMS_stations_lla_XYTableToPoint1.stationId,IMS_stations_lla_XYTableToPoint1.latitude,IMS_stations_lla_XYTableToPoint1.longitude
308,67,16,2375.74993223253,3,67,il_48192,16,29,31.251,35.186
309,68,148,0,1,68,il_5110,148,345,32.9836,35.0923
310,68,87,101.772167997458,2,68,il_5110,87,269,32.956,35.328
311,68,113,167.172294258962,3,68,il_5110,113,298,32.956,35.3287
312,68,146,369.157603851787,4,68,il_5110,146,343,32.98,35.09
313,68,138,6447.26899256667,5,68,il_5110,138,325,32.8844,35.3015
314,69,86,0,1,69,il_55106,86,265,30.614,34.797
315,69,161,0,1,69,il_55106,161,379,30.6125,34.7967
316,69,111,459.882744893537,2,69,il_55106,111,296,30.6101,34.8046
317,69,143,1121.78168239783,3,69,il_55106,143,335,30.7877,34.7712
318,69,89,2437.21422922328,4,69,il_55106,89,271,30.8,34.77
319,70,86,0,1,70,il_55140,86,265,30.614,34.797
320,70,89,0,1,70,il_55140,89,271,30.8,34.77
321,70,143,0,1,70,il_55140,143,335,30.7877,34.7712
322,70,161,0,1,70,il_55140,161,379,30.6125,34.7967
323,70,111,445.901601168943,2,70,il_55140,111,296,30.6101,34.8046
324,72,111,0,1,72,il_56140,111,296,30.6101,34.8046
325,72,161,354.032108843517,2,72,il_56140,161,379,30.6125,34.7967
326,72,86,396.171704975125,3,72,il_56140,86,265,30.614,34.797
327,73,111,0,1,73,il_56150,111,296,30.6101,34.8046
328,73,161,354.032045263746,2,73,il_56150,161,379,30.6125,34.7967
329,73,86,396.171618538658,3,73,il_56150,86,265,30.614,34.797
330,73,19,7692.61453781661,4,73,il_56150,19,33,30.51,35.14
331,74,111,0,1,74,il_56164,111,296,30.6101,34.8046
332,74,161,354.032045263746,2,74,il_56164,161,379,30.6125,34.7967
333,74,86,396.171618538658,3,74,il_56164,86,265,30.614,34.797
334,74,19,7692.61453781661,4,74,il_56164,19,33,30.51,35.14
335,79,20,1297.75007127626,1,79,il_57190,20,35,30.3696,35.15
336,79,58,1359.94242060747,2,79,il_57190,58,207,30.367,35.148
337,79,112,1483.33729960906,3,79,il_57190,112,297,30.3655,35.1479
338,80,67,2410.4256053406,1,80,il_58150,67,232,30.048,35.023
339,80,141,2422.50447398094,2,80,il_58150,141,329,30.048,35.0233
340,80,123,7338.96264411444,3,80,il_58150,123,309,29.8851,35.0771
341,80,21,7391.84886227363,4,80,il_58150,21,36,29.886,35.078
342,81,67,0,1,81,il_58175,67,232,30.048,35.023
343,81,141,0,1,81,il_58175,141,329,30.048,35.0233
