OBJECTID,Join_Count,TARGET_FID,JOIN_FID,gauge_id,ims_1,NEAR_DIST,NEAR_X,NEAR_Y,stationId,latitude,longitude,NEAR_FID,Shape_Length,Shape_Area
168,1,22,154,il_30175,0,-1,-1,-1,352,33.23,35.6,22,2.48621589877081,0.135912565911208
169,1,22,155,il_30175,0,-1,-1,-1,353,33.0244,35.5735,22,2.48621589877081,0.135912565911208
170,1,22,156,il_30175,0,-1,-1,-1,354,33.0244,35.5735,22,2.48621589877081,0.135912565911208
171,1,22,168,il_30175,0,-1,-1,-1,498,33.2277,35.635,22,2.48621589877081,0.135912565911208
172,1,22,169,il_30175,0,-1,-1,-1,499,33.2277,35.635,22,2.48621589877081,0.135912565911208
173,1,23,31,il_31110,0,-1,-1,-1,62,32.982,35.507,23,0.610704975669969,0.0121422613578549
174,1,23,44,il_31110,0,-1,-1,-1,99,32.863,35.374,89,0.610704975669969,0.0121422613578549
175,1,23,48,il_31110,0,-1,-1,-1,115,32.816,35.599,29,0.610704975669969,0.0121422613578549
176,1,23,50,il_31110,0,-1,-1,-1,123,32.916,35.533,29,0.610704975669969,0.0121422613578549
177,1,23,68,il_31110,0,-1,-1,-1,233,32.883,35.579,29,0.610704975669969,0.0121422613578549
178,1,23,87,il_31110,0,-1,-1,-1,269,32.956,35.328,42,0.610704975669969,0.0121422613578549
179,1,23,113,il_31110,0,-1,-1,-1,298,32.956,35.3287,42,0.610704975669969,0.0121422613578549
180,1,23,133,il_31110,0,-1,-1,-1,319,32.8621,35.3741,89,0.610704975669969,0.0121422613578549
181,1,23,135,il_31110,0,-1,-1,-1,322,32.915,35.5135,29,0.610704975669969,0.0121422613578549
182,1,23,142,il_31110,0,-1,-1,-1,330,32.8835,35.5792,29,0.610704975669969,0.0121422613578549
183,1,23,155,il_31110,0,-1,-1,-1,353,33.0244,35.5735,22,0.610704975669969,0.0121422613578549
184,1,23,156,il_31110,0,-1,-1,-1,354,33.0244,35.5735,22,0.610704975669969,0.0121422613578549
185,1,24,31,il_31115,0,-1,-1,-1,62,32.982,35.507,23,0.610465105347408,0.0095894845627757
186,1,24,44,il_31115,0,-1,-1,-1,99,32.863,35.374,89,0.610465105347408,0.0095894845627757
187,1,24,48,il_31115,0,-1,-1,-1,115,32.816,35.599,29,0.610465105347408,0.0095894845627757
188,1,24,50,il_31115,0,-1,-1,-1,123,32.916,35.533,29,0.610465105347408,0.0095894845627757
189,1,24,56,il_31115,0,-1,-1,-1,205,32.883,35.299,89,0.610465105347408,0.0095894845627757
190,1,24,68,il_31115,0,-1,-1,-1,233,32.883,35.579,29,0.610465105347408,0.0095894845627757
191,1,24,87,il_31115,0,-1,-1,-1,269,32.956,35.328,42,0.610465105347408,0.0095894845627757
192,1,24,113,il_31115,0,-1,-1,-1,298,32.956,35.3287,42,0.610465105347408,0.0095894845627757
193,1,24,133,il_31115,0,-1,-1,-1,319,32.8621,35.3741,89,0.610465105347408,0.0095894845627757
194,1,24,135,il_31115,0,-1,-1,-1,322,32.915,35.5135,29,0.610465105347408,0.0095894845627757
195,1,24,138,il_31115,0,-1,-1,-1,325,32.8844,35.3015,89,0.610465105347408,0.0095894845627757
196,1,24,142,il_31115,0,-1,-1,-1,330,32.8835,35.5792,29,0.610465105347408,0.0095894845627757
197,1,25,2,il_31155,0,-1,-1,-1,6,32.881,35.653,29,0.693295989270347,0.0154407302374451
198,1,25,4,il_31155,0,-1,-1,-1,10,33.133,35.783,30,0.693295989270347,0.0154407302374451
199,1,25,65,il_31155,0,-1,-1,-1,227,32.907,35.748,27,0.693295989270347,0.0154407302374451
200,1,25,68,il_31155,0,-1,-1,-1,233,32.883,35.579,29,0.693295989270347,0.0154407302374451
201,1,25,116,il_31155,0,-1,-1,-1,301,32.88,35.6504,29,0.693295989270347,0.0154407302374451
202,1,25,118,il_31155,0,-1,-1,-1,303,33.1288,35.8045,30,0.693295989270347,0.0154407302374451
203,1,25,139,il_31155,0,-1,-1,-1,327,32.9052,35.7487,27,0.693295989270347,0.0154407302374451
204,1,25,142,il_31155,0,-1,-1,-1,330,32.8835,35.5792,29,0.693295989270347,0.0154407302374451
205,1,25,155,il_31155,0,-1,-1,-1,353,33.0244,35.5735,22,0.693295989270347,0.0154407302374451
206,1,25,156,il_31155,0,-1,-1,-1,354,33.0244,35.5735,22,0.693295989270347,0.0154407302374451
207,1,26,2,il_31160,0,-1,-1,-1,6,32.881,35.653,29,0.598458683242298,0.00777980392486875
208,1,26,65,il_31160,0,-1,-1,-1,227,32.907,35.748,27,0.598458683242298,0.00777980392486875
209,1,26,68,il_31160,0,-1,-1,-1,233,32.883,35.579,29,0.598458683242298,0.00777980392486875
210,1,26,116,il_31160,0,-1,-1,-1,301,32.88,35.6504,29,0.598458683242298,0.00777980392486875
211,1,26,118,il_31160,0,-1,-1,-1,303,33.1288,35.8045,30,0.598458683242298,0.00777980392486875
212,1,26,139,il_31160,0,-1,-1,-1,327,32.9052,35.7487,27,0.598458683242298,0.00777980392486875
213,1,26,142,il_31160,0,-1,-1,-1,330,32.8835,35.5792,29,0.598458683242298,0.00777980392486875
214,1,27,1,il_31163,0,-1,-1,-1,2,32.817,35.763,28,0.549423295403101,0.0104743946713241
215,1,27,2,il_31163,0,-1,-1,-1,6,32.881,35.653,29,0.549423295403101,0.0104743946713241
216,1,27,65,il_31163,0,-1,-1,-1,227,32.907,35.748,27,0.549423295403101,0.0104743946713241
217,1,27,68,il_31163,0,-1,-1,-1,233,32.883,35.579,29,0.549423295403101,0.0104743946713241
218,1,27,115,il_31163,0,-1,-1,-1,300,32.8174,35.7622,28,0.549423295403101,0.0104743946713241
219,1,27,116,il_31163,0,-1,-1,-1,301,32.88,35.6504,29,0.549423295403101,0.0104743946713241
220,1,27,139,il_31163,0,-1,-1,-1,327,32.9052,35.7487,27,0.549423295403101,0.0104743946713241
221,1,27,142,il_31163,0,-1,-1,-1,330,32.8835,35.5792,29,0.549423295403101,0.0104743946713241
222,1,28,1,il_31165,0,-1,-1,-1,2,32.817,35.763,28,0.606629201138628,0.00973499809748511
223,1,28,2,il_31165,0,-1,-1,-1,6,32.881,35.653,29,0.606629201138628,0.00973499809748511
224,1,28,48,il_31165,0,-1,-1,-1,115,32.816,35.599,29,0.606629201138628,0.00973499809748511
225,1,28,65,il_31165,0,-1,-1,-1,227,32.907,35.748,27,0.606629201138628,0.00973499809748511
226,1,28,115,il_31165,0,-1,-1,-1,300,32.8174,35.7622,28,0.606629201138628,0.00973499809748511
227,1,28,116,il_31165,0,-1,-1,-1,301,32.88,35.6504,29,0.606629201138628,0.00973499809748511
228,1,28,139,il_31165,0,-1,-1,-1,327,32.9052,35.7487,27,0.606629201138628,0.00973499809748511
229,1,29,1,il_31198,0,-1,-1,-1,2,32.817,35.763,28,4.11672783765748,0.252166857333692
230,1,29,2,il_31198,0,-1,-1,-1,6,32.881,35.653,29,4.11672783765748,0.252166857333692
231,1,29,3,il_31198,0,-1,-1,-1,8,32.704,35.584,29,4.11672783765748,0.252166857333692
232,1,29,4,il_31198,0,-1,-1,-1,10,33.133,35.783,30,4.11672783765748,0.252166857333692
233,1,29,5,il_31198,0,-1,-1,-1,11,32.683,35.516,29,4.11672783765748,0.252166857333692
234,1,29,31,il_31198,0,-1,-1,-1,62,32.982,35.507,23,4.11672783765748,0.252166857333692
235,1,29,44,il_31198,0,-1,-1,-1,99,32.863,35.374,89,4.11672783765748,0.252166857333692
236,1,29,48,il_31198,0,-1,-1,-1,115,32.816,35.599,29,4.11672783765748,0.252166857333692
237,1,29,50,il_31198,0,-1,-1,-1,123,32.916,35.533,29,4.11672783765748,0.252166857333692
238,1,29,55,il_31198,0,-1,-1,-1,202,33.173,35.613,22,4.11672783765748,0.252166857333692
239,1,29,56,il_31198,0,-1,-1,-1,205,32.883,35.299,89,4.11672783765748,0.252166857333692
240,1,29,65,il_31198,0,-1,-1,-1,227,32.907,35.748,27,4.11672783765748,0.252166857333692
241,1,29,68,il_31198,0,-1,-1,-1,233,32.883,35.579,29,4.11672783765748,0.252166857333692
242,1,29,72,il_31198,0,-1,-1,-1,241,33.241,35.57,22,4.11672783765748,0.252166857333692
243,1,29,87,il_31198,0,-1,-1,-1,269,32.956,35.328,42,4.11672783765748,0.252166857333692
244,1,29,113,il_31198,0,-1,-1,-1,298,32.956,35.3287,42,4.11672783765748,0.252166857333692
245,1,29,115,il_31198,0,-1,-1,-1,300,32.8174,35.7622,28,4.11672783765748,0.252166857333692
246,1,29,116,il_31198,0,-1,-1,-1,301,32.88,35.6504,29,4.11672783765748,0.252166857333692
247,1,29,117,il_31198,0,-1,-1,-1,302,32.7024,35.5839,29,4.11672783765748,0.252166857333692
248,1,29,118,il_31198,0,-1,-1,-1,303,33.1288,35.8045,30,4.11672783765748,0.252166857333692
249,1,29,119,il_31198,0,-1,-1,-1,304,32.6978,35.5101,29,4.11672783765748,0.252166857333692
250,1,29,133,il_31198,0,-1,-1,-1,319,32.8621,35.3741,89,4.11672783765748,0.252166857333692
251,1,29,135,il_31198,0,-1,-1,-1,322,32.915,35.5135,29,4.11672783765748,0.252166857333692
