il_basin_shape_G_ExportTable.OBJECTID,il_basin_shape_G_ExportTable.IN_FID,il_basin_shape_G_ExportTable.NEAR_FID,il_basin_shape_G_ExportTable.NEAR_DIST,il_basin_shape_G_ExportTable.NEAR_RANK,il_basin_shape_G_ExportTable.FROM_X,il_basin_shape_G_ExportTable.FROM_Y,il_basin_shape_G_ExportTable.NEAR_X,il_basin_shape_G_ExportTable.NEAR_Y,il_basin_shape_G_ExportTable.FID,il_basin_shape_G_ExportTable.gauge_id,IMS_stations_lla_pint.OBJECTID,IMS_stations_lla_pint.stationId,IMS_stations_lla_pint.latitude,IMS_stations_lla_pint.longitude
133,18,149,0.0337839813181757,2,35.5706657946166,33.2741671656428,35.5696,33.2404000000001,18,il_30145,149,346,33.2404,35.5696
134,18,150,0.0469405711122093,3,35.5867390166018,33.2750284747205,35.6000000000001,33.2300000000001,18,il_30145,150,348,33.23,35.6
135,18,154,0.0469405711122093,3,35.5867390166018,33.2750284747205,35.6000000000001,33.2300000000001,18,il_30145,154,352,33.23,35.6
136,18,168,0.06759517022638,4,35.5867390166018,33.2750284747205,35.6350000000001,33.2277,18,il_30145,168,498,33.2277,35.635
137,18,169,0.06759517022638,4,35.5867390166018,33.2750284747205,35.6350000000001,33.2277,18,il_30145,169,499,33.2277,35.635
138,19,4,0.00167715427796307,1,35.7815358312263,33.1321820413985,35.7830000000001,33.133,19,il_30155,4,10,33.133,35.783
139,19,118,0.0232118773797578,2,35.7815358312263,33.1321820413985,35.8045000000001,33.1288000000001,19,il_30155,118,303,33.1288,35.8045
140,19,137,0.0311942499451745,3,35.6393976873205,33.1545122281686,35.6133,33.1716000000001,19,il_30155,137,324,33.1716,35.6133
141,19,55,0.0322278699755522,4,35.6393976873205,33.1545122281686,35.6130000000001,33.1730000000001,19,il_30155,55,202,33.173,35.613
142,19,168,0.0693561177114944,5,35.6624725755756,33.1640169672891,35.6350000000001,33.2277,19,il_30155,168,498,33.2277,35.635
143,19,169,0.0693561177114944,5,35.6624725755756,33.1640169672891,35.6350000000001,33.2277,19,il_30155,169,499,33.2277,35.635
144,19,150,0.0851434430780395,6,35.6403524203748,33.1550260840754,35.6000000000001,33.2300000000001,19,il_30155,150,348,33.23,35.6
145,19,154,0.0851434430780395,6,35.6403524203748,33.1550260840754,35.6000000000001,33.2300000000001,19,il_30155,154,352,33.23,35.6
146,20,155,0.011648293013054,1,35.5731888576874,33.0360441367469,35.5735,33.0244000000001,20,il_30165,155,353,33.0244,35.5735
147,20,156,0.011648293013054,1,35.5731888576874,33.0360441367469,35.5735,33.0244000000001,20,il_30165,156,354,33.0244,35.5735
148,20,31,0.0515261041238842,2,35.5210119200772,33.0315843271805,35.5070000000001,32.982,20,il_30165,31,62,32.982,35.507
149,20,113,0.0826330329603041,3,35.3950078726138,33.0053100817852,35.3287,32.9560000000001,20,il_30165,113,298,32.956,35.3287
150,20,87,0.0831957881017859,4,35.3950078726138,33.0053100817852,35.328,32.9560000000001,20,il_30165,87,269,32.956,35.328
151,21,155,0.00334989694578014,1,35.5746982908317,33.0212717563027,35.5735,33.0244000000001,21,il_30170,155,353,33.0244,35.5735
